Wall time,Step,Value
1730094640.303452,275776,0.20000000298023224
1730094642.953269,275992,0.20000000298023224
1730094649.2471292,276672,0.20999999344348907
1730094659.4581916,277768,0.25
1730094672.3425395,279136,0.28999999165534973
1730094682.019481,280056,0.3199999928474426
1730094691.891519,281176,0.3400000035762787
1730094694.6445322,281432,0.3400000035762787
1730094702.0426342,282104,0.36000001430511475
1730094708.1600902,282768,0.36000001430511475
1730094714.6351633,283456,0.33000001311302185
1730094731.4678278,285240,0.3700000047683716
1730094737.3862138,285912,0.3499999940395355
1730094740.64827,286248,0.36000001430511475
1730094744.1814895,286576,0.3700000047683716
1730094746.9353952,286920,0.3499999940395355
1730094756.624945,287960,0.36000001430511475
1730094775.9168453,289928,0.33000001311302185
1730094783.9995768,290592,0.3100000023841858
1730094787.834408,291008,0.3100000023841858
1730094790.419929,291256,0.30000001192092896
1730094797.6411803,291928,0.30000001192092896
1730094809.653326,293320,0.3199999928474426
1730094816.7108877,294016,0.3100000023841858
1730094820.3752105,294416,0.3199999928474426
1730094833.2239418,295736,0.3400000035762787
1730094836.3161213,296008,0.3400000035762787
1730094840.215909,296424,0.3400000035762787
1730094843.439106,296720,0.3400000035762787
1730094853.0813842,297792,0.3499999940395355
1730094855.927684,298080,0.3700000047683716
1730094860.0529943,298504,0.3700000047683716
1730094865.8095298,299136,0.3700000047683716
1730094876.5185392,300128,0.41999998688697815
1730094883.0387313,300808,0.4099999964237213
1730094886.7812223,301184,0.41999998688697815
1730094893.2109022,301864,0.3799999952316284
1730094895.756305,302152,0.4000000059604645
1730094909.6555433,303232,0.41999998688697815
1730094918.070468,304160,0.41999998688697815
1730094921.0966518,304536,0.4000000059604645
1730094943.1766963,306888,0.3400000035762787
1730094946.2199962,307264,0.33000001311302185
1730094949.02865,307568,0.33000001311302185
1730094952.6100323,307928,0.30000001192092896
1730094955.8961024,308256,0.3199999928474426
1730094958.7613575,308600,0.30000001192092896
1730094961.9072204,308936,0.3100000023841858
1730094967.673344,309560,0.30000001192092896
1730094972.1316214,310008,0.30000001192092896
1730094975.4546652,310256,0.30000001192092896
1730094985.9211469,311376,0.30000001192092896
1730094987.8074365,311568,0.30000001192092896
1730094991.5312777,312024,0.3199999928474426
1730094994.189986,312232,0.3199999928474426
1730095002.4566016,312896,0.3199999928474426
1730095022.156717,314920,0.3799999952316284
1730095026.2113264,315296,0.3799999952316284
1730095036.450954,316312,0.38999998569488525
1730095058.5352404,318712,0.4699999988079071
1730095067.944849,319672,0.4399999976158142
1730095094.341923,321960,0.4099999964237213
1730095098.0520768,322416,0.4099999964237213
1730095100.0017765,322632,0.3799999952316284
1730095107.0315106,323312,0.4000000059604645
1730095111.4652174,323816,0.4099999964237213
1730095113.7697554,324008,0.4099999964237213
1730095124.666446,325112,0.4399999976158142
1730095126.8050745,325344,0.44999998807907104
1730095133.2221467,326040,0.4099999964237213
1730095139.1747186,326736,0.4099999964237213
1730095143.3856523,327136,0.4099999964237213
1730095157.8337862,328504,0.4099999964237213
1730095160.5439072,328800,0.4300000071525574
1730095172.9965568,330112,0.4399999976158142
1730095176.7023773,330536,0.44999998807907104
1730095179.0871704,330784,0.46000000834465027
1730095183.0852416,331216,0.4699999988079071
1730095191.8963833,332112,0.44999998807907104
1730095196.4237761,332584,0.4399999976158142
1730095198.0141878,332784,0.4300000071525574
1730095207.6796274,333888,0.4399999976158142
1730095209.4577768,334104,0.46000000834465027
1730095234.277512,336824,0.5
1730095246.9707696,337936,0.47999998927116394
1730095249.1131604,338184,0.4699999988079071
1730095254.6736174,338824,0.4699999988079071
1730095260.6830394,339512,0.47999998927116394
1730095264.0303957,339968,0.47999998927116394
1730095272.5885875,340856,0.4699999988079071
1730095276.3623219,341320,0.46000000834465027
1730095283.4014373,341984,0.4699999988079071
1730095285.622005,342248,0.4699999988079071
1730095289.1982267,342648,0.44999998807907104
1730095292.0763662,342936,0.44999998807907104
1730095302.1165571,344008,0.41999998688697815
1730095328.3182847,346680,0.4399999976158142
1730095334.2772834,347368,0.44999998807907104
1730095341.2841003,348000,0.4399999976158142
1730095347.6003015,348672,0.4300000071525574
1730095349.767169,348816,0.41999998688697815
1730095353.5096574,349328,0.41999998688697815
1730095360.1316981,350024,0.41999998688697815
1730095367.2998111,350744,0.41999998688697815
1730095369.1717477,350848,0.4300000071525574
1730095373.8885176,351416,0.4300000071525574
1730095381.8355405,352216,0.46000000834465027
1730095388.1937394,352888,0.46000000834465027
1730095410.9325168,355304,0.4699999988079071
1730095414.2338068,355608,0.46000000834465027
1730095423.4418237,356680,0.4300000071525574
1730095430.8252063,357352,0.4699999988079071
1730095450.1174178,359376,0.5299999713897705
1730095452.917869,359656,0.5400000214576721
1730095461.1641905,360344,0.5199999809265137
1730095467.7942085,361024,0.5299999713897705
1730095481.612781,362392,0.550000011920929
1730095493.9256003,363712,0.5600000023841858
1730095500.279759,364384,0.550000011920929
1730095507.4694343,365080,0.5699999928474426
1730095516.8543556,366088,0.5699999928474426
1730095520.3804152,366456,0.5600000023841858
1730095524.1661315,366776,0.550000011920929
1730095527.5828388,367128,0.5600000023841858
